source	storage_key	src_path	original_zotero_name	flat_name	sha256
storage	2IL6MQ4N	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/2IL6MQ4N/Chen et al. - 2024 - InternVL Scaling up Vision Foundation Models and .pdf	Chen et al. - 2024 - InternVL Scaling up Vision Foundation Models and .pdf	Chen et al. - 2024 - InternVL Scaling up Vision Foundation Models and .pdf	8e87cb69e46a
storage	2KJA59LR	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/2KJA59LR/Barbu et al. - 2025 - Improving Estonian Text Simplification through Pretrained Language Models and Custom Datasets.pdf	Barbu et al. - 2025 - Improving Estonian Text Simplification through Pretrained Language Models and Custom Datasets.pdf	Barbu et al. - 2025 - Improving Estonian Text Simplification through Pretrained Language Models and Custom Datasets.pdf	c2f797782880
storage	2V7KF9MQ	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/2V7KF9MQ/2025.cltw-1.5.pdf	2025.cltw-1.5.pdf	2025.cltw-1.5.pdf	54cd4d4b2cfe
storage	3765XBNF	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3765XBNF/Hambardzumyan et al. - 2022 - Deep Lake a Lakehouse for Deep Learning.pdf	Hambardzumyan et al. - 2022 - Deep Lake a Lakehouse for Deep Learning.pdf	Hambardzumyan et al. - 2022 - Deep Lake a Lakehouse for Deep Learning.pdf	3a9951e1e817
storage	3BPG6I6U	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3BPG6I6U/Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text.pdf	Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text.pdf	Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text__dup0.pdf	54cd4d4b2cfe
storage	3CNN36XU	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3CNN36XU/Romero-Gomez et al. - 2018 - Automatic Alignment of Handwritten Images and Tran.pdf	Romero-Gomez et al. - 2018 - Automatic Alignment of Handwritten Images and Tran.pdf	Romero-Gomez et al. - 2018 - Automatic Alignment of Handwritten Images and Tran__dup0.pdf	bebf71c8948b
storage	3I88QMQN	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3I88QMQN/Wang et al_2020_MiniLM.pdf	Wang et al_2020_MiniLM.pdf	Wang et al_2020_MiniLM.pdf	231e884e9a05
storage	3NAKCB8Y	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3NAKCB8Y/Trinity College Dublin et al. - 2025 - Using GenAI in Teaching, Learning and Assessment in Irish Universities.pdf	Trinity College Dublin et al. - 2025 - Using GenAI in Teaching, Learning and Assessment in Irish Universities.pdf	Trinity College Dublin et al. - 2025 - Using GenAI in Teaching, Learning and Assessment in Irish Universities.pdf	0986ab756400
storage	3NTVXFI4	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3NTVXFI4/Kammoun et al_2022_Generative Adversarial Networks for face generation.pdf	Kammoun et al_2022_Generative Adversarial Networks for face generation.pdf	Kammoun et al_2022_Generative Adversarial Networks for face generation.pdf	72a3101e08c0
storage	3PJKSZ85	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3PJKSZ85/Lynn and Scannell - 2019 - Code-switching in Irish tweets A preliminary anal.pdf	Lynn and Scannell - 2019 - Code-switching in Irish tweets A preliminary anal.pdf	Lynn and Scannell - 2019 - Code-switching in Irish tweets A preliminary anal.pdf	fc9c28e6c42e
